CellID,X,Y,cluster_name
1,674.0919189,1.313513517,CAFs
2,2774.401123,2.05012536,CAFs
3,3169.94043,2.244318247,CAFs
4,4515.760742,1.228723407,CAFs
5,293.4710388,1.683397651,CAFs
6,1441.571899,1.907749057,CAFs
7,1621.666626,2.367117167,CAFs
8,2023.705078,2.995565414,CAFs
9,2391.881836,2.925347328,CAFs
10,3361.055664,2.766666651,CAFs
11,3927.038574,2.501930475,CAFs
12,4120.443359,2.662744999,CAFs
13,2977.787842,2.501128674,CAFs
14,2590.044678,3,CAFs
15,3544.617676,3.096330166,CAFs
16,3739.826904,3.838179588,CAFs
17,1884.369507,52.30467606,CAFs
18,3125.635742,367.0277405,None2 Immune/cancer Artefacts
19,3243.706543,370.5597839,IDO-1+ Tumor APCs
20,3202.522705,371.72052,IDO-1+ Tumor APCs
21,3305.333252,371.6458435,Inflammatory Monocytes
22,3033.691895,372.3189087,IDO-1+ Tumor APCs
23,3268.175293,373.3874207,TAM
24,2972.511719,373.9718323,Tumor APCs
25,3089.769775,374.1912537,IDO-1+ Tumor APCs
26,3057.888428,375.969574,IDO-1+ Tumor APCs
27,3332.381592,375.0437317,None2 Immune/cancer Artefacts
28,2951.659912,382.4162292,IDO-1+ Tumor APCs
29,3156.581299,381.8917236,IDO-1+ Tumor APCs
30,3264.978516,387.0499878,TAM
31,3241.452393,387.7823181,TAM
32,2998.139893,388.7742004,Tumor APCs
33,3279.144043,388.4491577,CD31+TAM
34,3086.108887,393.1366882,Inflammatory Monocytes
35,2924.037109,393.9497681,TAM
36,3149.351563,396.9335938,Proliferating Tumor APCs
37,3401.841553,396.9512329,Tumor
38,3073.649414,409.5019836,None Artefacts
39,3555.45166,416.580658,Tumor APCs
40,3016.184814,419.6944885,T help
41,2870.108887,421.2643127,Inflammatory Monocytes
42,3409.98877,422.6757202,CD31+TAM
43,3132.436523,423.1322937,Tumor APCs
44,3049.76001,428.5440063,Inflammatory Monocytes
45,3629.935059,433.5259705,Proliferating Tumor APCs
46,3482.09082,433.6748047,TAM
47,3069.076172,433.3789978,Tcyt
48,3344.144043,438.5130005,CD31+TAM
49,3549.636963,439.0539856,Proliferating Tumor APCs
50,2711.666748,442.7399902,None2 Immune/cancer Artefacts
51,3163.810547,441.0757751,Tumor APCs
52,3590.347168,442.401123,IDO-1+ Tumor APCs
53,3199.100586,444.9515686,Proliferating Tumor APCs
54,3383.927734,445.7710876,B cells
55,3100.989502,445.8511658,Tumor APCs
56,3036.145996,449.1650696,IDO-1+ Tumor APCs
57,3523.4375,448.2437439,Proliferating Tumor APCs
58,2938.168213,450.8300781,Proliferating Tumor APCs
59,3673.265137,449.7292786,Inflammatory Monocytes
60,2581.819824,454.0540466,Proliferating Tumor APCs
61,3717.333252,453.277771,TAM
62,2903.378662,453.7721863,TAM
63,3502.246094,453.9252319,None2 Immune/cancer Artefacts
64,3646.775146,452.256012,Inflammatory Monocytes
65,2773.608398,455.2554016,CD31+TAM
66,2877.42334,455.1192322,Inflammatory Monocytes
67,3694.031006,456.9165039,CD31+TAM
68,3287.1875,455.3531189,Treg
69,3125.401611,459.2345581,TAM
70,2711.608887,463.4109802,IDO-1+ Tumor APCs
71,3011.581299,465.3477783,IDO-1+ Tumor APCs
72,2671.708252,467.8200073,CD31+TAM
73,2848.42334,469.6379089,Endothelial
74,3176.907959,469.1840515,Proliferating Tumor APCs
75,2610.810547,471.7717896,TAM
76,2814.776367,474.4675293,Inflammatory Monocytes
77,3078.908447,472.1069641,Proliferating Tumor APCs
78,3296.171631,470.9224243,CD31+TAM
79,2907.462402,474.1158752,Proliferating Tumor APCs
80,3326.959961,473.113678,CD31+TAM
81,2407.697754,477.6738586,IDO-1+ Tumor APCs
82,3848.186768,478.9733276,CD31+TAM
83,2431.382324,477.7684021,IDO-1+ Tumor APCs
84,3047.962646,476.9171448,Proliferating Tumor APCs
85,3275.103516,478.7211304,CD31+TAM
86,3664.093018,478.7562866,APC T help
87,2548.112793,481.9456177,IDO-1+ Tumor APCs
88,3690.615723,481.1598511,APC T help
89,3111.418213,483.2571411,TAM
90,3203.663574,482.8571472,TAM
91,3733.218994,482.0817871,IDO-1+ Tumor APCs
92,3512.249023,485.1402588,None2 Immune/cancer Artefacts
93,2578.820313,486.8903809,IDO-1+ Tumor APCs
94,3546.04126,486.5227661,TAM
95,2393.974609,487.0379639,IDO-1+ Tumor APCs
96,3354.623779,487.1556091,CD31+TAM
97,2370.940918,487.5375061,Proliferating Tumor APCs
98,3975.276123,490.7852783,Proliferating Tumor APCs
99,2850.571533,490.7814636,APC T help
100,2337.258545,492.9578552,TAM
101,3636.33374,492.1620789,Treg
102,3812.859619,488.3990173,B cells
103,2634.45166,494.8677979,Treg
104,2301.688965,494.7182007,IDO-1+ Tumor APCs
105,2942.344727,493.8138733,IDO-1+ Tumor APCs
106,3589.451904,493.9777832,None Artefacts
107,4007.83374,497.8473816,IDO-1+ Tumor APCs
108,2600.14624,496.8137512,None2 Immune/cancer Artefacts
109,2886.591797,494.920166,Proliferating Tumor APCs
110,3138.239014,496.3694763,Proliferating Tumor APCs
111,3217.891602,496.0340576,IDO-1+ Tumor APCs
112,2719.31665,496.006958,MPs
113,3687.520996,498.0180664,Tcyt
114,2791.695557,499.2407227,CD31+TAM
115,3656.996094,500.9367676,None Artefacts
116,2392.927979,501.6441345,Proliferating Tumor APCs
117,2409.582031,500.9164124,Proliferating Tumor APCs
118,4056.318604,502.9186401,CD31+TAM
119,2506.634033,503.3275452,CD31+TAM
120,3280.449463,502.959137,Tcyt
121,3199.830566,504.821167,Proliferating Tumor APCs
122,4030.100098,505.9659119,IDO-1+ Tumor APCs
123,2252.622314,507.6617126,TAM
124,3893.748047,507.2503662,Proliferating Tumor APCs
125,2845.07959,508.4358826,IDO-1+ Tumor APCs
126,2864.0625,507.3413391,Tumor APCs
127,3928.469727,507.9968262,TAM
128,2337.147705,508.405304,Tumor APCs
129,3486.093994,508.7003479,None2 Immune/cancer Artefacts
130,3351.110107,510.7489014,APC T help
131,3379.328369,510.4002686,APC T help
132,3535.613037,511.2321472,Proliferating Tumor APCs
133,3178.997803,514.3901978,Proliferating Tumor APCs
134,3307.197266,512.9963379,Endothelial
135,2804.594971,516.4936523,Treg
136,3456.152832,515.1341553,None Artefacts
137,2542.179443,516.5299072,IDO-1+ Tumor APCs
138,2323.560059,518.7199707,Tumor APCs
139,2655.75415,518.9445801,APC T help
140,2926.355469,518.7938843,Proliferating Tumor APCs
141,2784.776367,520.3763428,CD31+TAM
142,4035.400879,519.6835327,None Artefacts
143,3607.058838,522.9518433,B cells
144,3762.625488,521.2699585,CD31+TAM
145,3395.536865,522.868103,Endothelial
146,3718.344727,523.6676025,Treg
147,3665.246582,525.7070923,CD31+TAM
148,2189.115479,527.9615479,Proliferating Tumor APCs
149,2848.237305,526.8220215,IDO-1+ Tumor APCs
150,2249.015137,527.4242554,Proliferating Tumor APCs
151,2609.023193,528.1661987,None2 Immune/cancer Artefacts
152,2573.611572,528.258728,Proliferating Tumor APCs
153,2442.418457,531.5045776,CD31+TAM
154,3207.698975,530.1263428,IDO-1+ Tumor APCs
155,2174.861572,533.4905396,Proliferating Tumor APCs
156,2505.27832,530.7838135,TAM
157,3277.270752,530.6829834,T help
158,3974.470703,531.5576172,Inflammatory Monocytes
159,3066.375732,532.2179565,Proliferating Tumor APCs
160,2822.755371,532.8980713,Proliferating Tumor APCs
161,3524.995605,534.5290527,TAM
162,3139.596191,536.3467407,Tumor APCs
163,3420.18457,536.1184692,Endothelial
164,2728.641113,536.734375,B cells
165,2995.397461,537.7489014,None2 Immune/cancer Artefacts
166,3396.068359,539.666687,Endothelial
167,4015.731201,540.8171997,T help
168,2685.336182,540.2647705,APC T help
169,2968.729004,540.5478516,IDO-1+ Tumor APCs
170,2901.783203,542.0775757,Proliferating Tumor APCs
171,3312.730469,541.8433838,Tcyt
172,3550.324463,542.7000732,Tumor APCs
173,2149.105957,543.5976563,IDO-1+ Tumor APCs
174,2395.578369,543.9692383,Inflammatory Monocytes
175,3178.908447,543.1755981,Tumor APCs
176,2212.271973,545.1176758,Tumor APCs
177,4002.47168,544.6290283,APC T help
178,2307.397949,546.8023682,Proliferating Tumor APCs
179,4113.492676,545.2400513,APC T help
180,2353.063965,547.659729,TAM
181,3426.547852,547.7123413,Endothelial
182,2505.619141,550.333313,Proliferating Tumor APCs
183,3603.125,550.1873779,Treg
184,3800.208496,549.5245361,IDO-1+ Tumor APCs
185,4031.5,546.7865601,Inflammatory Monocytes
186,3340.792725,555.4084473,APC T help
187,3879.45166,549.3876953,IDO-1+ Tumor APCs
188,2792.811035,553.1819458,APC T help
189,3226.507813,556.5252686,IDO-1+ Tumor APCs
190,3680.978516,555.5263672,CD31+TAM
191,2057.099854,556.9221191,Inflammatory Monocytes
192,2090.55249,555.4555664,CD31+TAM
193,2576.449951,555.3499756,Proliferating Tumor APCs
194,3280.357666,556.4495239,MPs
